,Country,Region,GDP per Capita,CO2 per Capita,Air Quality,Biodiversity,Water Sanitation,Happiness Score
35,Algeria,Middle East and Northern Africa,3946.4214450000004,3.85,89.04,61.62,72.11,6.355
36,Guatemala,Latin America and Caribbean,4140.589825999999,1.1,83.88,78.02,69.88,6.324
37,Suriname,Latin America and Caribbean,5604.722569,3.87,93.45,81.12,79.32,6.269
38,Kuwait,Middle East and Northern Africa,27653.1644,23.82,48.86,87.12,89.92,6.239
39,Bahrain,Middle East and Northern Africa,22619.11667,24.12,71.1,56.54,91.91,6.218
40,Trinidad and Tobago,Latin America and Caribbean,16176.947369999998,26.33,97.2,88.51,86.61,6.167999999999999
41,Slovakia,Central and Eastern Europe,16505.998059999998,6.46,70.74,100.0,98.12,6.077999999999999
42,El Salvador,Latin America and Caribbean,3800.1033020000004,1.22,89.65,76.43,73.94,6.068
43,Malaysia,Southeastern Asia,9817.740861,7.9,74.68,90.85,91.22,6.005
44,Nicaragua,Latin America and Caribbean,2107.56718,1.0,89.05,93.72,68.55,5.992000000000001
45,Uzbekistan,Central and Eastern Europe,2567.799207,3.23,74.81,56.18,81.04,5.987
46,Italy,Western Europe,30936.125439999996,5.92,72.75,98.96,99.64,5.977
47,Ecuador,Latin America and Caribbean,6060.093329,2.64,90.12,88.91,79.38,5.976
48,Belize,Latin America and Caribbean,4818.404394,1.21,95.02,99.03,77.76,5.956
49,Japan,Eastern Asia,38794.33094,9.55,77.63,93.25,100.0,5.921
50,Kazakhstan,Central and Eastern Europe,7714.841844,14.7,89.66,53.45,81.87,5.919
51,Moldova,Central and Eastern Europe,2272.405707,2.01,73.12,53.23,74.74,5.897
52,Russia,Central and Eastern Europe,8745.375117,11.72,84.76,73.7,84.22,5.856
53,Poland,Central and Eastern Europe,12431.575420000001,8.29,65.54,99.76,94.89,5.835
54,South Korea,Eastern Asia,27608.24743,12.81,45.51,69.34,95.11,5.835
55,Bolivia,Latin America and Caribbean,3076.6589489999997,1.99,90.09,90.06,71.87,5.822
56,Lithuania,Central and Eastern Europe,14999.479640000001,4.6,86.47,98.55,90.85,5.813
57,Belarus,Central and Eastern Europe,5022.626643,6.4,80.31,73.06,91.12,5.8020000000000005
58,Slovenia,Central and Eastern Europe,21622.580680000003,7.4,78.26,100.0,97.83,5.768
59,Peru,Latin America and Caribbean,6204.99726,1.82,83.8,84.59,73.66,5.742999999999999
60,Turkmenistan,Central and Eastern Europe,6389.548408,13.18,84.27,49.93,66.29,5.6579999999999995
61,Mauritius,Sub-Saharan Africa,9681.618567,3.1,95.41,55.45,92.72,5.648
62,Libya,Middle East and Northern Africa,4035.1943159999996,8.5,84.38,24.72,74.39,5.615
63,Latvia,Central and Eastern Europe,14153.41492,4.03,88.77,97.81,91.11,5.56
64,Paraguay,Latin America and Caribbean,5319.410218,1.07,87.59,78.94,82.41,5.537999999999999
65,Romania,Central and Eastern Europe,9567.097781999999,3.94,78.0,95.77,85.64,5.528
66,Estonia,Central and Eastern Europe,18237.29584,16.34,92.9,100.0,95.44,5.517
